"movieCd","movieNm","openDt","showTm","director","actors","genres","watchGradeNm","posterUrl","overview"
"20030410","실미도","20031224","135","강우석","설경구, 안성기, 허준호, 정재영, 임경호, 임원희, 강성진, 강신일, 이도겸, 엄태웅, 김강우, 신성호, 박진수, 김봉식, 김진휘, 윤효석, 이경근, 조민준, 류제승, 이용도, 이효정, 석재승, 김문희, 최진, 심정운, 주경탁, 백성기, 최명규, 전병윤, 유상섭, 이성원","Action, Drama","15세관람가","https://image.tmdb.org/t/p/w500/jwE6cVIoJ4JP397yMGfBBpHMJmF.jpg","On 31 January 1968, 31 North Korean commandos infiltrated South Korea in a failed mission to assassinate President Park Chung-hee. In revenge, the South Korean military assembled a team of 31 criminals on the island of Silmido to kill Kim Il-sung for a suicide mission to redeem their honor, but was cancelled, leaving them frustrated. It is loosely based on a military uprising in the 1970s."
"20030316","반지의 제왕 : 왕의 귀환","20031217","262","피터 잭슨","비고 모텐슨, 일라이저 우드, 이안 맥켈런, 숀 애스틴, 리브 타일러, 올랜도 블룸, 숀 빈, 빌리 보이드, 케이트 블란쳇, 휴고 위빙","Adventure, Fantasy, Action","12세관람가","https://image.tmdb.org/t/p/w500/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg","As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.?"
"20030420","동해물과 백두산이","20031231","104","안진우","정준호, 공형진, 류현경, 박정우, 박상욱, 이혜미, 신현탁, 정경순, 김광규, 오지혜, 김유신, 문성현, 윤지영, 정지영, 양지은, 한재영, 한창현, 박윤호","Comedy","15세관람가","https://image.tmdb.org/t/p/w500/bBWOPWaeYjzn2Y5pyH8reIkqYNI.jpg","Two friends accidentally drift from North Korea into South Korea after falling asleep during a fishing trip. Broke and unable to get home, they enter a singing contest whose grand prize is a trip to North Korea!"
"20030404","러브 액츄얼리","20031205","130","리차드 커티스","휴 그랜트, 콜린 퍼스, 알란 릭맨, 엠마 톰슨, 리암 니슨, 로라 린니, 키이라 나이틀리, 마틴 맥커천, 빌 나이","Comedy, Romance, Drama","15세관람가","https://image.tmdb.org/t/p/w500/7QPeVsr9rcFU9Gl90yg0gTOTpVv.jpg","Eight very different couples deal with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London."
"20030426","더 캣","20031231","85","보 웰치","마이크 마이어스, 알렉 볼드윈","Documentary","전체관람가","https://image.tmdb.org/t/p/w500/bH27INYEvDCD38aJ816aowcCncX.jpg","An unemployed American worker, a Tea Party activist, and a Chinese solar entrepreneur. But who wins and who loses the battle for power in the 21st century? Through interwoven character dramas spanning the U.S. and China, Catching the Sun explores the global economic race to lead the clean energy future."
"20030350","올드보이","20031121","120","박찬욱","최민식, 유지태, 강혜정, 김병옥, 오달수, 이승신, 윤진서, 지대한, 오태경, 유연석, 이대연, 오광록, 김수현, 용이, 박명신, 김원중, 박재용, 박지훈, 한정옥, 박근석, 곽정애, 임설아, 박성규, 오영주, 임승용, 최재섭","Drama, Thriller, Mystery, Action","18세관람가","https://image.tmdb.org/t/p/w500/pWDtjs568ZfOTMbURQBYuT4Qxka.jpg","With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors."
"20030408","해피 에로 크리스마스","20031217","110","이건동","김선아, 차태현, 박영규, 김지영, 홍성규, 조상렬, 김중기, 송윤희, 조미영, 신영운, 박윤미, 최창우, 김현두, 박창호, 김경란, 김동규, 고현용, 천승철, 김선용, 윤동원, 박성범, 최영두, 김형범, 정석용, 오태경, 손진호, 박충선, 염동헌, 이청아, 오창경","Romance, Comedy","15세관람가","https://image.tmdb.org/t/p/w500/bSXLuYWNUullHxiQ6E8X77yDf07.jpg","Byung-ki is a clumsy village policeman who helps out with trivial tasks like distributing promotional papers, though he dreams of fighting evil. One day, he runs into Min-kyong, an employee at the neighborhood bowling alley, and falls for her at first sight. However, his attempts to woo her go unnoticed. Meanwhile, Sang-doo, the boss of the local gang?with whom Byung-ki harbors a boyhood grudge?also swoons over Min-kyong and vows to take her virginity on Christmas Eve."
"20030425","스노우 보더","20031224","93","올리아스 바르코","니콜라스 뒤보셸, 그레고리 콜린","장르 정보 없음","15세관람가","포스터 정보 없음","줄거리 정보 없음"
"20030430","라스트 사무라이","20040109","144","에드워드 즈윅","톰 크루즈, 와타나베 켄","Documentary","15세관람가","https://image.tmdb.org/t/p/w500/nklWhTBnbFw0NutlupxNbDB9TZZ.jpg","An account of the life and work of legendary Japanese actor Toshir? Mifune (1920-97), the most prominent actor of the Golden Age of Japanese cinema."
"20030424","루니 툰 : 백 인 액션","20031224","90","조 단테","브렌든 프레이저, 제나 엘프만, 티모시 달튼","Animation, Comedy, Family","전체관람가","https://image.tmdb.org/t/p/w500/kFfcjQvKvsfrzF5W7p2D6nEtbAq.jpg","Fed up with all the attention going to Bugs Bunny, Daffy Duck quits Hollywood, teams up with recently-fired stuntman Damien Drake Jr. and embarks on a round-the-world adventure, along with Bugs and The VP of Warner Bros. Their mission? Find Damien's father, and the missing blue diamond... and stay one step ahead of The Acme Corp., who wants the diamond for their own purposes."
"20030433","말죽거리 잔혹사","20040116","115","유하","권상우, 이정진, 한가인, 김인권, 박효준, 이종혁, 백봉기, 김동영, 강동수, 김대성, 이민구, 조주연, 민성주, 김성문, 최선중, 전진우, 김소라, 김수민, 정영민, 정진모, 우성, 김정열, 양종규, 이광재, 이진욱, 이혜선, 서동원, 천호진, 김부선, 안내상, 조진웅, 이동연, 박수영, 김병춘, 한재영, 권태원, 백주희, 박혁민","Romance, Drama, Action","15세관람가","https://image.tmdb.org/t/p/w500/sUQcZdu7EfYC9Ljz7vanUJfzVQg.jpg","A model student transfers to the notorious Jungmoon High School known for its severe corporal punishment by teachers and power struggles between school gangs."
"20030435","내사랑 싸가지","20040116","95","신동엽","김재원, 진태현, 하지원, 김지훈, 한민, 강정호, 김상혁, 유현호, 최용준, 김용건, 김창완, 임혁필, 김민경","장르 정보 없음","12세관람가","포스터 정보 없음","줄거리 정보 없음"
"20040442","피터 팬","20040116","113","P.J. 호건","레이첼 허드-우드, 제이슨 아이삭스, 제레미 섬터","Drama, Romance","전체관람가","https://image.tmdb.org/t/p/w500/aZD8ohIzMPpYSZ0zzKsvBZmt3fv.jpg","A teenager deals with life on his own as his mother lies in a coma."
"20040441","빙우","20040116","104","김은숙","김하늘, 이성재, 송승헌, 이상윤, 유해진, 조경래, 김지연, 추천호, 이승준","Adventure, Drama","12세관람가","https://image.tmdb.org/t/p/w500/vUHGCJOorgPyKEprepUcUqDeV8V.jpg","Woo-sung just joined Joong-hyun and his friends' journey to climb Mt. Asiaq of Alaska. However, a raging snowstorm was waiting for them descending from the summit and it isolates Woo-sung and Joong-hyun in an icy cave. To stay awakened, Joong-hyun whose leg is severely wounded starts his story and they get stunned realizing that between their two stories there was one woman, Kyung-min."
"20030436","브라더 베어","20040116","85","애론 블레이즈","제레미 슈어레즈, 호아킨 피닉스","Adventure, Animation, Family","전체관람가","https://image.tmdb.org/t/p/w500/yaA8q2zHHUgFWdJNxXyAdU71SzM.jpg","Kenai finds his childhood human friend Nita and the two embark on a journey to burn the amulet he gave to her before he was a bear, much to Koda's dismay."
"20040443","페이첵","20040122","119","오우삼","벤 애플렉, 우마 서먼, 아론 에크하트","Action, Adventure, Mystery, Science Fiction, Thriller","15세관람가","https://image.tmdb.org/t/p/w500/icoa6KslkhXKnxLreZ6vXnDimpQ.jpg","Michael Jennings is a genius who's hired ? and paid handsomely ? by high-tech firms to work on highly sensitive projects, after which his short-term memory is erased so he's incapable of breaching security. But at the end of a three-year job, he's told he isn't getting a paycheck and instead receives a mysterious envelope. In it are clues he must piece together to find out why he wasn't paid ? and why he's now in hot water."
"20030434","안녕! 유에프오","20040130","105","김진민","변희봉, 봉태규, 이범수, 이은주, 정인선, 정석원, 임선애, 김응수, 홍윤정, 박정수, 배태종, 류주현, 서용준, 박근수, 이힘찬, 정금자, 박상현, 김진, 이규섭, 김종옥, 조재윤, 김영재, 주부진, 박성호, 이무룡, 박상현","Comedy, Romance","전체관람가","https://image.tmdb.org/t/p/w500/nVbbHqdX5EDogcxQRYZkp2TILiU.jpg","In a town where everyone believes in UFOs, a bus driver named Sam lives out his daydreams by making special radio programs for the passengers who ride his bus. A heartwarming story of a physically challenged but outgoing girl named Kate who falls in love with this timid but lovable bus driver."
"20030439","그녀를 모르면 간첩","20040130","100","박한준","공유, 김정화, 백일섭, 김애경, 남상미, 송혁재, 조달환, 김경섭, 홍승현, 박경환, 심재원, 박한준, 서동욱, 강현, 문진호, 정영준, 이재혁, 유순철, 김명국, 이승연, 유인영","Comedy, Action, Romance","15세관람가","https://image.tmdb.org/t/p/w500/cJfUFYDcxxE4qJnv8mfRjN8fIeg.jpg","The plot of this film has a young beautiful spy from North Korea going south to capture another rogue spy. She goes undercover at Burger King and soon she's battling with her co-workers for the affections of the local boys, dealing with a culture clash between North and South, and a very cute young man who's posted pictures of her on a website of local ""angels"" possibly blowing her cover."
"20030437","런어웨이","20040130","127","게리 플레더","더스틴 호프만, 진 해크만, 레이첼 와이즈","Action, Thriller","15세관람가","https://image.tmdb.org/t/p/w500/A4rEFniv19a1GlryJVsRw71uF55.jpg","Video game producer Lee Dong-ho and freelance artist Choi Mi-ran are both young, ambitious people who are passionate about their life and work. They meet by chance one night on the road, and end up spending the night together. On their way home, they witness a gang-related murder, and from that day on their lives take a dramatic turn as they become the perpetrators' next targets."
"20030371","태극기 휘날리며","20040205","148","강제규","장동건, 원빈, 이은주, 조원희, 이장욱, 임성택, 공형진, 이영란, 정희준, 장민호, 정호빈, 박동빈, 김해곤, 박유신, 김효열, 김효준, 최재혁, 이건우, 박태원, 배상철, 김범주, 한선랑, 이동혁, 한재민, 지중현, 김대영, 민지혁, 이호천, 임동빈, 김재중, 박성희, 정승진, 이정훈, 오명준, 이기수, 김용현, 이주원, 이환희, 박길수, 안길강, 권태원, 최교식, 김조운, 전승재","Action, Adventure, Drama, History, War","15세관람가","https://image.tmdb.org/t/p/w500/vyG8qpimh3XSlxc6OmPq8LJRJl.jpg","When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle."
"20030206","베이직","20040206","98","존 맥티어난","사무엘 L. 잭슨, 코니 닐슨, 존 트라볼타","Action, Drama, Mystery, Thriller, Crime","15세관람가","https://image.tmdb.org/t/p/w500/jtyF4NF9fQlyGP8cgU1mK3DLUTB.jpg","When a hurricane hits a US Army base on the edge of the Panama Canal, an elite covert operations team of US Army Rangers recruits are on a routine jungle training exercise that goes horribly awry. Only two recruits are rescued, one of which is badly injured, but both have different accounts regarding the fate of their leader, legendary and ruthless Army Ranger Drill Sergeant Nathan West, and the rest of their platoon. Tom Hardy, an ex-army Ranger turned maverick DEA agent is brought in to solve the mystery and uncover what really happened out there."
"20040467","사랑할 때 버려야 할 아까운 것들","20040213","128","낸시 마이어스","배우 정보 없음","Drama, Comedy, Romance","15세관람가","https://image.tmdb.org/t/p/w500/4fQJjwbDf1KELvJJMcmAV6AxJdH.jpg","When perpetually single, aging music industry exec Harry Sanborn, and his latest trophy girlfriend, Marin, arrive at her mother's beach house in the Hamptons, they find that her mother, playwright Erica Barry, also plans to stay for the weekend. Erica is scandalized by the relationship and Harry's sexist ways. But when Harry has a heart attack while there, and the doctor prescribes bedrest, his only option is to stay at the Barry home. Left in the care of Erica and his doctor, a love triangle starts to take shape."
"20040460","열두명의 웬수들","20040213","95","숀 레비","스티브 마틴, 보니 헌트, 힐러리 더프, 블레이크 우드러프","장르 정보 없음","전체관람가","포스터 정보 없음","줄거리 정보 없음"
"20030440","자토이치","20040130","119","기타노 다케시","기타노 다케시, 아사노 타다노부, 오쿠스 미치요","Adventure, Drama, Action","15세관람가","https://image.tmdb.org/t/p/w500/iCIycswWbX1EDS6PYYBcR9ohrC.jpg","Blind traveler Zatoichi is a master swordsman and a masseur with a fondness for gambling on dice games. When he arrives in a village torn apart by warring gangs, he sets out to protect the townspeople."
